Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
4,9.9,6.7,8.5,33,196
4,11.2,7.7,9.6,29,221
4,6.0,5.8,5.9,48,136
6,12.7,9.1,11.1,25,255
6,12.1,8.7,10.6,27,244
6,11.9,7.7,10.0,28,230
6,11.8,8.1,10.1,28,232
6,12.8,9.0,11.1,25,255
6,13.4,9.5,11.6,24,267
4,10.6,7.5,9.2,31,212
4,11.2,8.1,9.8,29,225
6,12.1,8.3,10.4,27,239
4,9.7,6.9,8.4,34,193
12,18.0,12.6,15.6,18,359
12,18.0,12.6,15.6,18,359
8,17.4,11.3,14.7,19,338
8,18.1,12.2,15.4,18,354
8,17.4,11.3,14.7,19,338
8,18.1,12.2,15.4,18,354
12,18.0,12.6,15.6,18,359
4,9.9,7.4,8.8,32,202
4,11.5,8.1,10.0,28,230
4,10.8,7.5,9.3,30,214
4,11.5,8.1,10.0,28,230
4,11.5,8.1,10.0,28,230
4,10.8,7.5,9.3,30,214
4,12.0,8.1,10.2,28,235
6,12.8,8.6,10.9,26,251
6,13.3,8.5,11.2,25,262
6,13.1,8.8,11.2,25,258
8,13.7,8.3,11.3,25,265
6,13.1,8.8,11.2,25,258
8,14.7,9.7,12.5,23,288
12,18.7,11.5,15.5,18,363
4,11.8,8.8,10.5,27,242
4,12.0,8.5,10.4,27,239
6,12.9,9.2,11.2,25,258
4,9.9,8.3,9.2,31,212
6,15.1,10.9,13.2,21,304
8,17.6,11.0,14.6,19,336
8,21.2,13.4,17.7,16,407
10,18.2,10.6,14.8,19,347
10,21.1,13.8,17.8,16,409
8,17.6,11.0,14.6,19,336
8,21.2,13.4,17.7,16,407
10,18.2,10.6,14.8,19,347
10,21.1,13.8,17.8,16,409
8,15.3,10.9,13.3,21,306
8,15.2,11.3,13.4,21,308
8,15.5,8.8,12.5,23,293
6,13.2,9.2,11.4,25,262
6,14.6,9.8,12.4,23,285
6,13.2,9.2,11.4,25,262
6,14.6,9.8,12.4,23,285
6,13.3,9.5,11.6,24,267
8,14.2,9.7,12.2,23,281
8,14.2,9.7,12.2,23,281
8,15.8,9.2,12.8,22,300
6,14.9,10.1,12.7,22,292
4,10.4,7.6,9.1,31,209
4,10.4,7.6,9.1,31,209
4,11.5,8.8,10.3,27,237
4,11.5,8.8,10.3,27,237
8,16.3,9.8,13.4,21,314
12,18.8,11.5,15.5,18,356
8,17.4,10.2,14.2,20,332
12,20.0,12.2,16.5,17,380
12,20.0,12.2,16.5,17,380
