Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
6,9.8,6.2,8.1,35,217
6,9.8,6.2,8.1,35,217
6,9.8,6.5,8.4,34,224
6,9.8,6.5,8.4,34,224
6,10.2,7.8,9.0,31,244
6,12.4,8.7,10.7,26,290
4,7.6,5.5,6.7,42,181
4,7.6,5.5,6.7,42,181
6,9.2,6.4,7.9,36,213
6,18.4,12.2,15.6,18,250
6,19.4,13.0,16.5,17,264
8,23.3,16.1,20.1,14,322
8,25.7,17.8,22.1,13,354
4,8.7,5.1,7.1,40,192
6,18.8,13.1,16.2,17,259
6,19.8,13.6,17.0,17,272
8,23.5,17.7,20.9,14,334
8,23.7,18.8,21.5,13,344
8,23.9,18.5,21.5,13,344
8,25.3,19.3,22.6,12,362
8,23.9,18.5,21.5,13,344
8,25.3,19.3,22.6,12,362
8,30.0,20.4,25.7,11,411
8,30.2,20.5,25.8,11,413
6,16.7,11.3,14.3,20,229
6,18.9,14.2,16.8,17,269
8,19.5,13.7,16.9,17,270
6,20.0,15.1,17.8,16,285
8,19.9,14.2,17.3,16,277
8,21.5,14.6,18.4,15,294
8,21.5,14.6,18.4,15,294
8,21.5,14.6,18.4,15,294
8,21.5,14.6,18.4,15,294
6,17.0,11.2,14.4,20,230
6,17.0,11.2,14.4,20,230
6,17.3,11.7,14.8,19,237
6,16.8,10.3,13.9,20,222
6,19.7,13.3,16.8,17,269
6,17.0,11.2,14.4,20,230
6,17.3,11.7,14.8,19,237
6,18.3,12.6,15.7,18,251
6,16.8,10.3,13.9,20,222
4,14.2,9.8,12.2,23,195
6,17.7,13.0,15.6,18,250
6,19.2,13.1,16.5,17,264
6,18.9,12.9,16.2,17,259
8,24.1,19.2,21.9,13,350
8,24.9,19.6,22.5,13,360
8,25.5,20.0,23.0,12,368
8,26.7,20.5,23.9,12,382
8,24.5,18.0,21.6,13,346
6,18.3,12.9,15.9,18,254
6,18.9,13.9,16.7,17,267
6,18.8,13.7,16.5,17,264
6,18.8,13.7,16.5,17,264
8,22.1,16.7,19.7,14,315
8,22.1,16.7,19.7,14,315
6,20.2,15.3,18.0,16,288
6,20.2,15.3,18.0,16,288
8,22.4,17.0,20.0,14,320
8,22.4,16.9,19.9,14,318
4,11.7,8.5,10.3,27,165
4,11.7,8.5,10.3,27,165
4,11.9,8.9,10.6,27,170
4,11.6,8.3,10.1,28,162
