Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
196,0,-1.7,79,0.5,794,-4.8,0.0,0.0,0.8
250,1,-1.6,79,0.6,784,-4.7,0.0,0.0,0.8
161,2,-1.1,79,0.7,736,-4.2,0.0,0.0,0.8
99,3,-0.6,76,0.5,789,-4.3,0.0,0.0,0.7
64,4,-0.3,76,0.9,760,-4.0,0.0,0.0,0.7
76,5,-0.2,73,0.8,880,-4.4,0.0,0.0,0.7
114,6,-0.1,71,0.8,895,-4.7,0.0,0.0,0.7
283,7,-0.3,72,0.7,919,-4.7,0.0,0.0,0.7
544,8,-0.4,69,0.5,904,-5.4,0.0,0.0,0.7
298,9,0.3,67,0.7,897,-5.1,0.03,0.0,0.6
248,10,1.4,64,1.0,897,-4.6,0.25,0.0,0.5
278,11,3.1,57,0.8,804,-4.6,0.63,0.0,0.0
301,12,4.5,56,0.8,836,-3.5,0.71,0.0,0.0
320,13,5.4,55,1.2,820,-2.9,0.66,0.0,0.0
326,14,5.9,55,0.6,779,-2.4,0.48,0.0,0.0
386,15,6.5,55,0.9,801,-1.9,0.38,0.0,0.0
416,16,6.0,58,0.7,732,-1.6,0.19,0.0,0.0
477,17,5.4,61,1.3,691,-1.5,0.08,0.0,0.0
671,18,4.9,63,0.6,677,-1.5,0.0,0.0,0.0
481,19,5.2,64,0.7,691,-1.0,0.0,0.0,0.0
323,20,5.9,67,1.3,779,0.2,0.0,0.0,0.0
309,21,6.1,70,2.2,763,1.0,0.0,0.0,0.0
314,22,6.1,70,2.7,806,1.0,0.0,0.0,0.0
249,23,5.8,74,2.5,832,1.5,0.0,0.0,0.0
266,0,5.6,78,0.6,196,2.0,0.0,0.0,0.0
251,1,5.6,78,0.5,197,2.0,0.0,0.0,0.0
196,2,5.4,80,0.9,190,2.2,0.0,0.0,0.0
149,3,5.2,82,0.8,190,2.3,0.0,0.0,0.0
79,4,5.2,82,0.7,189,2.3,0.0,0.0,0.0
44,5,5.1,82,0.6,185,2.2,0.0,0.0,0.0
12,6,4.9,84,1.3,159,2.4,0.0,0.1,0.0
3,7,4.7,89,1.1,100,3.0,0.0,0.0,0.0
4,8,4.6,91,1.7,95,3.2,0.0,0.0,0.0
3,9,4.6,94,0.9,90,3.7,0.0,6.4,0.0
4,10,4.8,96,0.6,87,4.2,0.04,0.0,0.0
9,11,4.6,95,0.8,156,3.8,0.05,0.0,0.0
4,12,4.1,91,0.8,404,2.7,0.07,9.5,0.0
7,13,3.7,90,0.7,744,2.2,0.15,0.0,0.0
28,14,3.3,90,2.5,561,1.8,0.19,0.0,0.0
38,15,2.9,90,2.0,380,1.4,0.08,3.5,0.0
54,16,2.3,91,3.3,270,0.9,0.07,0.0,0.0
104,17,2.2,86,2.6,605,0.0,0.04,0.0,0.0
128,18,1.9,82,4.3,699,-0.8,0.01,0.5,0.0
132,19,1.1,68,4.4,695,-4.1,0.0,0.0,0.0
116,20,0.6,67,3.3,506,-4.8,0.0,0.0,0.0
145,21,0.4,69,3.5,477,-4.6,0.0,0.0,0.0
110,22,0.2,69,2.7,565,-4.8,0.0,0.0,0.0
128,23,0.0,63,3.2,884,-6.2,0.0,0.0,0.0
160,0,-0.6,64,2.4,1010,-6.5,0.0,0.0,0.0
132,1,-1.2,57,4.3,1429,-8.6,0.0,0.0,0.0
115,2,-1.8,53,4.1,1825,-10.1,0.0,0.0,0.0
100,3,-2.3,52,3.4,1947,-10.8,0.0,0.0,0.0
72,4,-3.0,51,3.2,2000,-11.7,0.0,0.0,0.0
32,5,-3.7,51,2.6,2000,-12.3,0.0,0.0,0.0
59,6,-4.1,50,3.0,2000,-13.0,0.0,0.0,0.0
61,7,-4.6,46,2.8,2000,-14.4,0.0,0.0,0.0
94,8,-4.9,44,3.0,2000,-15.3,0.0,0.0,0.0
107,9,-4.6,40,3.5,2000,-16.1,0.18,0.0,0.0
133,10,-3.7,35,3.7,1937,-16.9,0.57,0.0,0.0
179,11,-2.8,35,2.9,1984,-16.1,0.87,0.0,0.0
221,12,-1.6,33,2.5,1874,-15.8,1.18,0.0,0.0
244,13,-1.5,33,3.8,2000,-15.7,1.18,0.0,0.0
274,14,-0.4,31,2.0,2000,-15.5,1.1,0.0,0.0
319,15,0.4,28,2.5,2000,-16.0,0.9,0.0,0.0
272,16,0.4,27,2.0,2000,-16.4,0.58,0.0,0.0
260,17,-0.7,29,2.0,2000,-16.5,0.21,0.0,0.0
237,18,-1.6,33,2.0,2000,-15.8,0.0,0.0,0.0
184,19,-1.8,41,2.1,2000,-13.3,0.0,0.0,0.0
181,20,-2.1,49,1.7,2000,-11.4,0.0,0.0,0.0
185,21,-1.7,51,1.7,2000,-10.5,0.0,0.0,0.0
176,22,-1.3,53,1.7,2000,-9.6,0.0,0.0,0.0
169,23,-1.0,55,1.9,2000,-8.9,0.0,0.0,0.0
43,0,0.9,95,1.8,63,0.1,0.0,0.2,0.2
43,1,0.5,95,2.1,79,-0.2,0.0,0.0,0.6
65,2,0.4,95,1.7,110,-0.3,0.0,0.0,1.2
65,3,0.3,91,2.0,172,-1.0,0.0,1.0,1.2
32,4,-0.2,87,3.5,246,-2.1,0.0,0.0,1.2
22,5,-0.8,85,2.8,329,-3.0,0.0,0.0,1.2
25,6,-1.3,84,2.4,425,-3.6,0.0,0.0,1.2
39,7,-1.8,86,1.7,367,-3.8,0.0,0.0,1.2
84,8,-2.1,86,1.4,354,-4.1,0.0,0.0,1.2
103,9,-1.9,82,1.6,410,-4.5,0.15,0.0,1.2
110,10,-0.5,73,1.7,609,-4.7,0.53,0.0,1.1
142,11,0.8,62,2.8,801,-5.6,0.88,0.0,1.1
209,12,1.4,47,4.5,1388,-8.7,1.1,0.0,1.0
267,13,2.5,36,3.7,1578,-11.0,1.15,0.0,0.7
262,14,3.0,28,3.8,1956,-13.7,1.1,0.0,0.0
300,15,3.1,25,3.9,2000,-15.0,0.9,0.0,0.0
272,16,2.7,26,2.7,2000,-14.9,0.59,0.0,0.0
240,17,1.7,30,2.9,2000,-14.0,0.22,0.0,0.0
215,18,0.7,31,2.3,2000,-14.5,0.01,0.0,0.0
163,19,0.0,31,2.2,2000,-15.1,0.0,0.0,0.0
161,20,-1.0,32,0.9,2000,-15.6,0.0,0.0,0.0
179,21,-1.6,35,1.0,2000,-15.1,0.0,0.0,0.0
155,22,-2.1,36,1.7,2000,-15.2,0.0,0.0,0.0
227,23,-2.6,40,0.6,2000,-14.3,0.0,0.0,0.0
206,0,-3.2,40,0.5,1358,-14.9,0.0,0.0,0.0
230,1,-3.3,41,0.7,2000,-14.7,0.0,0.0,0.0
178,2,-3.7,42,0.9,2000,-14.7,0.0,0.0,0.0
119,3,-4.0,44,1.0,2000,-14.4,0.0,0.0,0.0
62,4,-4.2,53,1.1,1994,-12.3,0.0,0.0,0.0
61,5,-4.4,54,0.8,1786,-12.3,0.0,0.0,0.0
65,6,-4.5,51,1.1,2000,-13.1,0.0,0.0,0.0
