Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment
1641957.44,38.51,2.548,211.2421698,8.106
1507460.69,78.69,2.565,211.4951902,7.787
1955624.11,64.52,2.735,211.7484333,7.838
1367320.01,48.43,2.943,211.4049321,7.838
1649614.93,36.39,3.022,212.9367046,7.742
1540471.24,76.0,3.546,215.861056,7.962
2033320.66,60.14,3.236,218.4676211,7.866
1497462.72,44.55,3.129,219.5359898,7.866
1802477.43,48.02,3.409,220.2651783,7.348
1661767.33,83.96,3.73,222.4390153,6.908
2137809.5,38.49,2.548,210.8979935,8.324
1839128.83,79.09,2.565,211.1532104,8.099
2658725.29,62.98,2.735,211.4062867,8.163
1750434.55,47.3,2.943,211.064774,8.163
2168041.61,33.19,3.022,212.5928624,8.028
1748000.65,77.97,3.546,215.5148295,7.852
2614202.3,56.36,3.236,218.1130269,7.441
1874226.52,44.57,3.129,219.1773063,7.441
2103322.68,46.98,3.409,219.9049073,7.057
1898777.07,87.65,3.73,222.0747635,6.565
420728.96,47.93,2.548,214.5747916,7.368
352260.97,80.84,2.565,214.8065431,7.346
565567.84,68.71,2.735,215.0614025,7.564
382677.76,53.2,2.943,214.6986466,7.564
430526.21,43.57,3.022,216.2660913,7.551
377347.49,81.72,3.546,219.2135305,7.567
556925.19,68.0,3.236,221.9011185,7.197
410553.88,48.29,3.129,223.0090839,7.197
473292.47,51.65,3.409,223.753643,6.833
408229.73,84.99,3.73,225.9660263,6.334
2188307.39,28.84,2.573,126.4962581,8.623
1865820.81,73.54,2.574,126.1145806,7.372
2789469.45,48.08,2.752,126.6692667,7.127
1794868.74,38.09,2.955,127.0876774,7.127
2187847.29,33.29,3.033,127.859129,6.51
2093139.01,73.34,3.554,129.3686129,5.644
3004702.33,47.96,3.225,129.8364,5.143
2007105.86,36.89,3.119,130.0710323,5.143
2374660.64,33.0,3.411,130.3849032,4.607
2125104.72,82.09,3.709,130.9325484,4.077
311825.7,39.81,2.548,211.8004698,6.566
306533.08,79.86,2.565,212.0499271,6.496
488362.61,66.15,2.735,212.303441,6.768
298180.18,49.79,2.943,211.9567142,6.768
311590.54,38.25,3.022,213.4944627,6.634
321110.22,79.04,3.546,216.4226819,6.529
507900.07,61.93,3.236,219.0428204,6.3
349624.88,45.62,3.129,220.1178226,6.3
349239.88,48.57,3.409,220.849586,5.943
350648.91,86.3,3.73,223.0298805,5.603
1606283.86,40.57,2.548,212.7700425,7.259
1424225.44,78.78,2.565,213.013312,6.973
2267452.4,65.79,2.735,213.2672961,7.007
1464050.02,49.14,2.943,212.9149674,7.007
1486920.17,39.38,3.022,214.4630941,6.858
1483574.38,80.21,3.546,217.3980304,6.925
2249811.55,62.78,3.236,220.0417412,6.551
1598080.52,46.8,3.129,221.1282634,6.551
1620603.92,48.58,3.409,221.8644987,6.132
1608077.01,86.33,3.73,224.0560076,5.668
524104.92,25.9,2.572,189.4642725,9.014
535769.32,48.5,2.78,190.3958293,9.017
835189.26,17.95,2.742,191.0121805,9.137
729572.08,13.76,2.829,191.2557002,9.137
559903.13,10.24,3.037,191.8572881,8.818
613135.23,45.61,3.566,194.6387853,8.622
949075.87,27.6,3.424,195.7704,8.513
815915.52,15.56,3.119,196.3586101,8.513
563460.77,18.79,3.103,196.9195056,8.256
597876.55,57.84,3.596,198.0950484,7.872
994801.4,33.34,2.548,214.6214189,6.299
831425.2,74.34,2.565,214.8528728,6.315
1261693.16,51.07,2.735,215.1077548,6.433
773586.49,41.47,2.943,214.7447295,6.433
996147.39,28.26,3.022,216.3126733,6.262
848358.09,69.01,3.546,219.2604355,6.425
1235163.86,49.61,3.236,221.9491571,6.123
858572.22,36.33,3.129,223.0576765,6.123
1021400.42,35.71,3.409,223.8024507,5.825
932160.37,80.87,3.73,226.0153733,5.401
552677.48,37.08,2.548,214.8056534,6.415
484835.2,77.7,2.565,215.0359315,6.442
768070.53,60.18,2.735,215.2909028,6.56
459770.85,45.92,2.943,214.9268131,6.56
555279.02,34.13,3.022,216.496729,6.416
528784.86,75.65,3.546,219.4457675,6.404
814753.5,54.32,3.236,222.1389683,6.054
549788.36,43.41,3.129,223.2496766,6.054
609736.12,44.03,3.409,223.9953006,5.667
565812.29,87.93,3.73,226.2103541,5.277
2176028.52,49.96,2.828,126.4962581,9.765
1720530.23,84.04,2.961,126.1145806,9.199
2939946.38,55.33,3.162,126.6692667,9.003
1707298.14,49.67,3.148,127.0876774,9.003
2115408.31,51.51,3.381,127.859129,8.744
1670579.82,89.06,3.771,129.3686129,8.257
2950198.64,60.68,3.76,129.8364,7.874
1930690.37,48.92,3.428,130.0710323,7.874
2218595.8,55.73,3.722,130.3849032,7.545
1708283.28,83.07,4.124,130.9325484,7.17
1574684.08,48.01,2.548,214.5747916,7.368
1231428.46,81.93,2.565,214.8065431,7.346
1757242.51,69.9,2.735,215.0614025,7.564
1172003.1,55.03,2.943,214.6986466,7.564
1419236.9,44.61,3.022,216.2660913,7.551
1249439.95,84.91,3.546,219.2135305,7.567
1848953.48,70.03,3.236,221.9011185,7.197
1352084.21,48.86,3.129,223.0090839,7.197
1574287.76,52.23,3.409,223.753643,6.833
1304584.4,85.17,3.73,225.9660263,6.334
1117863.33,47.87,2.946,126.4962581,13.975
903119.03,83.63,3.044,126.1145806,14.18
1601377.41,47.66,3.162,126.6692667,14.313
891736.91,45.64,3.148,127.0876774,14.313
1086421.57,51.3,3.381,127.859129,14.021
922850.57,88.0,3.913,129.3686129,13.503
1591920.42,53.25,3.622,129.8364,12.89
1111638.07,44.64,3.428,130.0710323,12.89
1199330.85,52.27,3.722,130.3849032,12.187
955146.04,88.52,4.124,130.9325484,10.926
2030933.46,33.16,2.671,126.4962581,8.316
1772143.94,65.74,2.87,126.1145806,7.951
2766400.05,28.22,2.83,126.6692667,7.795
1675292.0,26.79,2.868,127.0876774,7.795
1944438.9,30.83,3.034,127.859129,7.47
1872921.31,70.19,3.619,129.3686129,6.877
2864170.61,38.89,3.445,129.8364,6.392
1969056.91,31.53,3.119,130.0710323,6.392
2069284.57,33.73,3.116,130.3849032,6.104
2165796.31,70.65,3.689,130.9325484,5.765
1704218.84,27.73,2.773,181.982317,8.992
2191767.76,70.87,2.699,182.598178,8.743
2921709.71,46.15,3.039,182.7832769,8.724
1623716.46,29.67,3.179,182.5714479,8.724
1980405.03,30.3,3.239,183.7016129,8.549
2202742.9,71.48,3.738,186.6737376,8.625
2685351.81,48.71,3.492,188.3504,8.523
1914148.89,37.79,3.389,189.0620155,8.523
2077256.24,37.0,3.64,189.7076048,8.424
